date, pm25, pm10, o3, no2, so2, co
2020/12/26, 34, 6, 26, 12, 1, 3
2020/12/27, 30, 21, 16, 27, 1, 4
2020/12/28, 50, 20, 11, 27, 2, 5
2020/12/29, 51, 25, 24, 16, , 3
2020/12/30, 63, 5, 27, 3, , 
2020/12/31, 23, 5, 25, 7, , 2
2021/1/1, 30, 5, 21, 10, 1, 2
2021/1/2, 32, 6, 25, 6, , 3
2021/1/3, 35, 7, 17, 21, 1, 3
2020/7/1, 29, 13, 41, 7, 1, 1
2020/7/2, 58, 13, 28, 13, 1, 2
2020/7/3, 46, 8, 13, 6, , 1
2020/7/4, 29, 15, 40, 4, 1, 1
2020/7/5, 41, 10, 9, 4, , 1
2020/7/6, 32, 15, 7, 3, , 
2020/7/7, 27, 13, 29, 4, , 1
2020/7/8, 23, 8, 13, 9, , 1
2020/7/9, 21, 11, 8, 7, , 1
2020/7/10, 31, 15, 11, 3, , 
2020/7/11, 32, 12, 32, 3, 1, 1
2020/7/12, 57, 12, 23, 11, 1, 2
2020/7/13, 40, 11, 14, 13, 1, 2
2020/7/14, 30, 9, 13, 10, , 1
2020/7/15, 20, 8, 22, 9, 1, 2
2020/7/16, 14, 10, 9, 8, , 1
2020/7/17, 27, 9, 6, 11, , 2
2020/7/18, 23, 14, 35, 8, 1, 2
2020/7/19, 61, 24, 61, 13, 1, 2
2020/7/20, 55, 22, 27, 16, 2, 2
2020/7/21, 63, 20, 26, 13, 1, 2
2020/7/22, 42, 13, 19, 9, 1, 2
2020/7/23, 26, 22, 43, 12, 2, 3
2020/7/24, 55, 21, 7, 9, 1, 2
2020/7/25, 46, 11, 14, 6, 1, 2
2020/7/26, 32, 9, 11, 7, , 1
2020/7/27, 28, 15, 10, 9, , 2
2020/7/28, 46, 9, 16, 6, , 1
2020/7/29, 21, 10, 21, 9, 1, 2
2020/7/30, 36, 24, 26, 21, 1, 3
2020/7/31, 52, 10, 33, 4, 1, 1
2020/8/1, 58, 12, 31, 3, 2, 1
2020/8/2, 52, 16, 41, 14, 3, 3
2020/8/3, 62, 15, 36, 10, 1, 2
2020/8/4, 68, 20, 36, 12, 1, 1
2020/8/5, 66, 27, 22, 10, 1, 2
2020/8/6, 68, 27, 31, 12, 3, 2
2020/8/7, 64, 44, 25, 14, 2, 2
2020/8/8, 78, 31, 25, 9, 1, 2
2020/8/9, 73, 33, 64, 10, 2, 2
2020/8/10, 94, 11, 21, 6, , 
2020/8/11, 90, 19, 36, 11, 2, 2
2020/8/12, 57, 30, 65, 10, 12, 2
2020/8/13, 68, 22, 43, 6, 1, 2
2020/8/14, 69, 40, 107, 8, 5, 3
2020/8/15, 89, 31, 39, 5, 1, 2
2020/8/16, 81, 28, 43, 10, 1, 2
2020/8/17, 74, 22, 40, 8, 1, 2
2020/8/18, 70, 18, 67, 11, 6, 3
2020/8/19, 60, 16, 42, 10, 1, 2
2020/8/20, 109, 19, 66, 13, 7, 2
2020/8/21, 69, 29, 55, 9, 2, 2
2020/8/22, 78, 18, 26, 5, 2, 1
2020/8/23, 46, 12, 27, 6, 1, 1
2020/8/24, 59, 16, 47, 9, 2, 2
2020/8/25, 66, 17, 42, 13, 2, 2
2020/8/26, 71, 10, 10, 11, 2, 1
2020/8/27, 52, 13, 9, 8, 1, 1
2020/8/28, 45, 12, 18, 6, , 1
2020/8/29, 74, 7, 21, 6, 1, 1
2020/8/30, 73, 12, 31, 8, 1, 1
2020/8/31, 58, 9, 20, 6, 1, 2
2020/9/1, 32, 14, 19, 11, 1, 1
2020/9/2, 36, 13, 11, 7, , 1
2020/9/3, 35, 12, 22, 10, 1, 1
2020/9/4, 66, 14, 27, 7, 1, 1
2020/9/5, 58, 8, 16, 5, 1, 1
2020/9/6, 60, 11, 5, 12, , 4
2020/9/7, 24, , , , , 
2020/9/13, 11, 11, 21, 12, 1, 2
2020/9/14, 45, 9, 26, 10, 1, 2
2020/9/15, 42, 12, 25, 10, 1, 2
2020/9/16, 36, 15, 25, 15, 1, 2
2020/9/17, 44, 13, 11, 4, 1, 1
2020/9/18, 43, 9, 30, 6, 1, 2
2020/9/19, 23, 13, 20, 6, 1, 3
2020/9/20, 34, 12, 34, 6, 1, 2
2020/9/21, 52, 14, 35, 4, 1, 2
2020/9/22, 43, 11, 25, 6, , 1
2020/9/23, 32, 11, 23, 6, , 1
2020/9/24, 30, 5, 20, 6, , 1
2020/9/25, 21, 9, 18, 7, , 1
2020/9/26, 18, 10, 25, 5, , 2
2020/9/27, 28, 8, 31, 10, 1, 2
2020/9/28, 52, 7, 29, 7, 1, 1
2020/9/29, 35, 8, 35, 8, 1, 2
2020/9/30, 41, 12, 27, 10, 1, 2
2020/4/1, 43, 9, 40, 2, , 1
2020/4/2, 32, 12, 34, 14, 1, 3
2020/4/3, 45, 17, 47, 10, 1, 3
2020/4/4, 58, 12, 34, 5, 1, 2
2020/4/5, 40, 9, 40, 9, 1, 2
2020/4/6, 45, 12, 42, 12, 1, 3
2020/4/7, 41, 20, 57, 16, 1, 3
2020/4/8, 50, 15, 44, 11, 1, 2
2020/4/9, 65, 8, 36, 4, , 
2020/4/10, 46, 6, 39, 6, 1, 2
2020/4/11, 41, 8, 36, 4, 1, 2
2020/4/12, 28, 5, 35, 6, , 
2020/4/13, 14, 7, 35, 4, , 1
2020/4/14, 39, 11, 41, 13, 1, 2
2020/4/15, 31, 14, 38, 8, 1, 2
2020/4/16, 53, 11, 32, 11, 2, 3
2020/4/17, 37, 10, 33, 9, 1, 3
2020/4/18, 23, 8, 36, 6, 1, 3
2020/4/19, 41, 5, 31, 8, , 1
2020/4/20, 15, 15, 25, 27, 2, 4
