date, pm25, pm10, o3, no2, so2, co
2019/9/10, 71, 24, 38, 13, 2, 2
2019/9/11, 73, 9, 32, 8, 1, 2
2019/9/12, 38, 8, 23, 6, 1, 1
2019/9/13, 22, 12, 27, 9, , 2
2019/9/14, 35, 12, 30, 6, 1, 1
2019/9/15, 57, 9, 15, 5, 1, 2
2019/9/16, 26, 13, 27, 9, 2, 2
2019/9/17, 51, 10, 21, 8, 1, 1
2019/9/18, 23, 13, 29, 11, 1, 2
2019/9/19, 49, 13, 36, 10, 2, 3
2019/9/20, 44, 12, 26, 8, 1, 2
2019/9/21, 30, 11, 31, 4, , 
2019/9/22, 53, 16, 24, 5, , 2
2019/9/23, 40, 11, 21, 11, 1, 2
2019/9/24, 43, 9, 33, 13, 4, 2
2019/9/25, 36, 12, 32, 11, 1, 2
2019/9/26, 44, 18, 37, 20, 3, 3
2019/9/27, 48, 14, 27, 13, 2, 2
2019/9/28, 51, 15, 22, 11, 2, 2
2019/9/29, 49, 16, 30, 12, 1, 2
2019/9/30, 48, 20, 44, 15, 3, 2
2019/4/1, 33, 7, 33, 9, 1, 2
2019/4/2, 36, 10, 35, 6, 1, 
2019/4/3, 42, 15, 32, 19, 2, 3
2019/4/4, 54, 16, 41, 24, 2, 4
2019/4/5, 62, 20, 48, 13, 2, 3
2019/4/6, 55, 19, 48, 10, 2, 3
2019/4/7, 54, 12, 33, 11, 1, 2
2019/4/8, 35, 7, 35, 6, 1, 2
2019/4/9, 37, 6, 20, 16, , 2
2019/4/10, 20, 4, 32, 5, 1, 2
2019/4/11, 27, 8, 28, 10, 1, 2
2019/4/12, 28, 11, 39, 14, 2, 3
2019/4/13, 48, 8, 41, 9, 1, 2
2019/4/14, 38, 7, 43, 6, 1, 2
2019/4/15, 41, 10, 42, 14, 3, 3
2019/4/16, 47, 15, 34, 17, 3, 3
2019/4/17, 42, 17, 51, 15, 3, 3
2019/4/18, 56, 19, 42, 21, 3, 3
2019/4/19, 57, 14, 34, 11, 3, 3
2019/4/20, 41, 21, 48, 13, 2, 3
2019/4/21, 56, 28, 48, 17, 2, 3
2019/4/22, 68, 17, 40, 13, 2, 3
2019/4/23, 55, 24, 22, 15, 1, 3
2019/4/24, 59, 17, 18, 25, 3, 3
2019/4/25, 43, 10, 27, 10, 1, 2
2019/4/26, 26, 6, 32, 7, , 2
2019/4/27, 24, 6, 36, 5, 2, 3
2019/4/28, 36, 6, 33, 11, 2, 2
2019/4/29, 31, 7, 28, 11, 1, 2
2019/4/30, 19, 6, 32, 8, 1, 2
2019/5/1, 33, 10, 35, 9, 1, 3
2019/5/2, 40, 11, 43, 14, 2, 4
2019/5/3, 60, 14, 42, 8, 1, 2
2019/5/4, 57, 13, 46, 10, 2, 3
2019/5/5, 51, 10, 39, 6, 1, 2
2019/5/6, 37, 6, 38, 5, 1, 
2019/5/7, 26, 7, 40, 12, , 2
2019/5/8, 43, 8, 37, 13, , 2
2019/5/9, 33, 19, 68, 21, 2, 3
2019/5/10, 58, 25, 53, 21, 3, 4
2019/5/11, 86, 13, 39, 6, 1, 2
2019/5/12, 52, 11, 30, 13, 3, 2
2019/5/13, 39, 13, 38, 17, 2, 2
2019/5/14, 33, 10, 35, 15, 2, 2
2019/5/15, 33, 10, 38, 12, 1, 2
2019/5/16, 45, 10, 37, 11, 2, 2
2019/5/17, 47, 12, 36, 12, 1, 2
2019/5/18, 49, 14, 39, 9, 2, 3
2019/5/19, 50, 17, 30, 15, 2, 2
2019/5/20, 43, 13, 21, 11, 1, 2
2019/5/21, 25, 12, 34, 9, 1, 3
2019/5/22, 31, 14, 54, 16, 3, 2
2019/5/24, 40, 25, 71, 17, 2, 3
2019/5/25, 79, 36, 104, 14, 3, 4
2019/5/26, 90, 42, 66, 25, 5, 4
2019/5/27, 96, 16, 39, 10, 1, 2
2019/5/28, 44, 8, 32, 8, , 2
2019/5/29, 19, , 33, 13, 2, 2
2019/5/31, 35, 18, 40, 12, 2, 2
2019/6/1, 49, 27, 45, 10, 3, 2
2019/6/2, 66, 11, 35, 13, 2, 2
2019/6/3, 49, 13, 33, 15, 2, 2
2019/6/4, 52, 9, 26, 15, 1, 2
2019/6/5, 38, 21, 66, 14, 2, 3
2019/6/6, 66, 38, 25, 18, 1, 3
2019/6/7, 66, 12, 36, 7, , 2
2019/6/8, 50, 8, 27, 3, , 1
2019/6/9, 26, 6, 22, 7, , 
2019/6/10, 15, 7, 29, 6, 1, 1
2019/6/11, 32, 12, 22, 12, 3, 2
2019/6/12, 32, 14, 34, 16, 3, 3
2019/6/13, 56, 14, 26, 16, 2, 2
2019/6/14, 46, 10, 25, 7, 3, 1
2019/6/15, 12, 6, 34, 6, , 1
2019/6/16, 51, 8, 37, 5, 2, 2
2019/6/17, 46, 13, 33, 16, 3, 2
2019/6/18, 48, 26, 39, 14, 3, 2
2019/6/19, 44, 35, 43, 13, 3, 3
2019/6/21, 57, 11, 27, 10, 2, 2
2019/6/22, 26, 12, 17, 9, 3, 2
2019/6/23, 32, 7, 16, 8, 1, 1
2019/6/24, 22, 15, 33, 19, 3, 3
2019/6/25, 66, 23, 31, 12, 2, 2
2019/6/26, 54, 14, 19, 8, 1, 1
2019/6/27, 44, 17, 27, 14, 2, 3
2019/6/28, 54, 10, 24, 8, 1, 2
2019/6/29, 21, 8, 13, 8, 1, 2
2019/6/30, 27, 21, 12, 16, 1, 2
2019/1/1, 28, 5, 27, 7, 2, 3
2019/1/2, 24, 5, 28, 6, 1, 2
2019/1/3, 18, 7, 23, 16, 3, 4
2019/1/4, 26, 9, 27, 18, 1, 4
2019/1/5, 47, 4, 28, 5, 1, 2
2019/1/6, 19, 6, 26, 11, 1, 2
2019/1/7, 26, 17, 9, 39, 4, 6
2019/1/8, 49, 8, 25, 10, 1, 3
2019/1/9, 35, 13, 16, 28, 1, 4
2019/1/10, 42, 10, 25, 19, , 5
2019/1/11, 40, 18, 16, 25, 1, 3
2019/1/12, 48, 11, 28, 12, 1, 3
2019/1/13, 39, 7, 25, 12, , 2
2019/1/14, 30, 17, 16, 30, 3, 4
2019/1/15, 47, 12, 27, 19, , 4
2019/1/16, 35, 13, 23, 23, 3, 4
2019/1/17, 43, 4, 28, 9, 1, 2
2019/1/18, 21, 7, 27, 17, 2, 3
2019/1/19, 27, 12, 27, 16, 2, 3
2019/1/20, 47, 6, 27, 11, 1, 2
2019/1/21, 15, 7, 25, 16, 1, 3
2019/1/23, 56, 6, 26, 8, , 2
2019/1/24, 28, 7, 26, 17, 4, 5
2019/1/25, 25, 7, 27, 12, 2, 3
2019/1/26, 36, 4, 29, 5, , 
2019/1/27, 23, 9, 8, 25, , 3
2019/1/28, 32, 12, 28, 7, 1, 3
2019/1/29, 50, 22, 19, 32, 5, 6
2019/1/30, 68, 23, 17, 36, 3, 5
2019/1/31, 76, 5, 27, 7, , 2
2019/2/1, 19, 12, 18, 26, 2, 4
2019/2/2, 42, 12, 25, 19, 3, 4
2019/2/3, 46, 9, 31, 11, 1, 3
2019/2/4, 43, 14, 26, 15, 1, 3
2019/2/5, 50, 28, 8, 30, 1, 5
2019/2/6, 70, 31, 13, 36, 1, 8
2019/2/7, 75, 6, 26, 8, , 2
2019/2/8, 16, 11, 22, 12, , 2
2019/2/9, 42, 6, 29, 6, , 2
2019/2/10, 30, 12, 21, 13, , 2
2019/2/11, 42, 8, 27, 12, , 2
2019/2/12, 32, 13, 17, 23, 2, 3
2019/2/13, 49, 6, 30, 8, 1, 2
2019/2/14, 32, 13, 24, 28, 2, 4
2019/2/15, 39, 16, 31, 19, , 3
2019/2/16, 57, 13, 34, 5, 1, 2
2019/2/17, 51, 11, 30, 20, 3, 4
2019/2/18, 42, 19, 15, 35, 1, 5
2019/2/19, 57, 37, 12, 26, 1, 5
2019/2/20, 84, 7, 31, 7, 1, 2
2019/2/21, 36, 9, 24, 19, 3, 3
2019/2/22, 34, 16, 34, 9, 1, 2
2019/2/23, 55, 17, 35, 12, 2, 3
2019/2/24, 57, 24, 16, 37, 3, 5
2019/2/25, 68, 23, 32, 15, 1, 3
2019/2/26, 67, 17, 29, 16, 2, 3
2019/2/27, 57, 22, 16, 26, , 4
2019/2/28, 62, 15, 22, 24, 1, 3
2019/3/1, 55, 18, 37, 10, 3, 3
2019/3/2, 61, 23, 28, 12, 1, 3
2019/3/3, 72, 8, 29, 11, , 2
2019/3/4, 26, 18, 33, 17, 3, 3
2019/3/5, 59, 30, 12, 32, 3, 5
2019/3/6, 73, 18, 31, 16, 1, 3
2019/3/7, 39, 9, 33, 6, , 2
2019/3/8, 27, 10, 36, 19, 3, 4
2019/3/9, 50, 11, 29, 22, 3, 3
2019/3/10, 39, 5, 26, 9, 1, 2
2019/3/11, 27, 11, 29, 21, 5, 4
2019/3/12, 38, 13, 35, 15, 1, 3
2019/3/13, 59, 7, 32, 14, 2, 2
2019/3/14, 34, 15, 35, 17, 3, 3
2019/3/15, 50, 16, 34, 14, 1, 2
2019/3/16, 53, 10, 35, 8, 2, 3
2019/3/17, 38, 11, 30, 14, 2, 3
2019/3/18, 41, 14, 31, 22, 2, 3
2019/3/19, 48, 16, 35, 25, 3, 3
2019/3/20, 46, 11, 36, 10, 3, 3
2019/3/21, 47, 7, 37, 9, 1, 2
2019/3/22, 37, 5, 31, 7, , 2
2019/3/23, 23, 7, 36, 8, 1, 2
2019/3/24, 32, 15, 27, 20, 2, 3
2019/3/25, 50, 19, 33, 30, 2, 4
2019/3/26, 57, 17, 41, 14, 2, 2
2019/3/27, 52, 11, 43, 10, 2, 2
2019/3/28, 41, 8, 30, 12, 2, 3
2019/3/29, 35, 21, 25, 14, 1, 2
2019/3/30, 53, 18, 36, 10, 1, 3
2019/3/31, 56, 5, 32, 13, 1, 3
2018/10/1, 56, 13, 40, 12, 1, 2
2018/10/2, 51, 17, 29, 14, 1, 2
2018/10/3, 45, 11, 24, 9, , 2
2018/10/4, 31, 14, 21, 12, , 2
2018/10/5, 40, 16, 16, 13, 1, 3
2018/10/6, 62, 13, 31, 2, 1, 1
2018/10/7, 50, 8, 31, 4, 1, 2
2018/10/8, 15, 12, 34, 10, 1, 2
2018/10/9, 49, 15, 31, 15, 2, 3
2018/10/10, 44, 20, 11, 18, 1, 3
2018/10/11, 49, 9, 22, 10, 1, 2
2018/10/12, 21, 8, 24, 7, 1, 2
2018/10/13, 20, 8, 25, 5, 1, 
2018/10/14, 32, 14, 16, 16, 1, 3
2018/10/15, 36, 16, 24, 13, 1, 2
2018/10/16, 46, 14, 28, 11, 1, 3
2018/10/17, 46, 10, 27, 9, 1, 2
2018/10/18, 37, 11, 21, 13, 1, 3
2018/10/19, 35, 10, 32, 9, , 2
2018/10/20, 43, 7, 33, 3, 1, 1
2018/10/21, 38, 11, 31, 13, 1, 2
2018/10/22, 55, 13, 19, 16, 1, 2
2018/10/23, 45, 9, 26, 11, 1, 2
2018/10/24, 49, 17, 37, 12, 1, 2
2018/10/25, 50, 19, 25, 17, 2, 2
2018/10/26, 57, 17, 25, 19, 2, 4
2018/10/27, 53, 9, 26, 7, , 3
2018/10/28, 35, 14, 21, 25, 1, 4
2018/10/29, 63, 10, 29, 19, , 3
2018/10/30, 61, 5, 26, 10, 1, 1
2018/10/31, 49, 7, 29, 8, 2, 1
2018/11/1, 25, 5, 25, 16, 3, 2
2018/11/2, 34, 11, 25, 18, 2, 3
2018/11/3, 42, 22, 22, 14, 1, 4
2018/11/4, 65, 22, 19, 21, 2, 3
2018/11/5, 59, 14, 8, 21, 1, 3
2018/11/6, 40, 9, 29, 10, 1, 
2018/11/7, 25, 14, 30, 11, 1, 2
2018/11/8, 46, 21, 15, 23, 1, 4
2018/11/9, 53, 17, 24, 15, 1, 3
2018/11/10, 60, 15, 26, 13, 3, 3
2018/11/11, 51, 27, 14, 22, 1, 4
2018/11/12, 72, 18, 24, 14, 1, 3
2018/11/13, 43, 7, 25, 9, 1, 2
2018/11/14, 30, 7, 22, 14, 1, 2
2018/11/15, 32, 12, 14, 26, 2, 3
2018/11/16, 46, 14, 29, 16, , 3
2018/11/17, 56, 8, 24, 7, 1, 2
2018/11/18, 25, 15, 20, 20, 2, 4
2018/11/19, 45, 7, 22, 11, , 2
2018/11/20, 23, 17, 8, 36, 4, 5
2018/11/21, 49, 18, 13, 22, 1, 4
2018/11/22, 54, 6, 25, 8, 1, 2
2018/11/23, 29, 5, 20, 10, , 2
2018/11/24, 19, 12, 22, 18, 3, 3
2018/11/25, 47, 15, 16, 24, 2, 4
2018/11/26, 51, 22, 14, 37, 3, 6
2018/11/27, 60, 31, 17, 34, 2, 5
2018/11/28, 74, 18, 19, 14, 2, 3
2018/11/29, 46, 12, 22, 20, 4, 3
2018/11/30, 42, 9, 25, 13, 1, 3
2018/12/1, 50, 10, 23, 9, , 3
2018/12/2, 42, 19, 15, 31, 4, 4
2018/12/3, 59, 25, 22, 25, 3, 4
2018/12/4, 76, 11, 22, 10, , 2
2018/12/5, 41, , , , , 
2018/12/12, 40, 5, 24, 14, , 4
2018/12/13, 22, 6, 25, 13, , 3
2018/12/14, 28, 5, 27, 7, 1, 
2018/12/15, 30, 13, 14, 19, , 4
2018/12/16, 46, 20, 2, 34, 3, 6
2018/12/17, 67, , , 20, 2, 5
2018/12/18, 36, 11, , , 3, 4
2018/12/19, 41, 13, , , 3, 5
2018/12/20, 48, 14, 5, 46, 2, 4
2018/12/21, 44, 36, 7, 32, 1, 5
2018/12/22, 76, 31, 11, 23, 1, 5
2018/12/23, 70, 8, 25, 6, 1, 3
2018/12/24, 35, 8, 20, 21, 2, 4
2018/12/25, 32, 20, 4, 34, 1, 5
2018/12/26, 60, 12, 20, 22, 2, 3
2018/12/27, 39, 5, 24, 5, 1, 
2018/12/28, 14, 3, 24, 9, , 2
2018/12/29, 23, 3, 27, 4, , 
2018/12/30, 19, , , , , 
2018/7/1, 57, 15, 17, 7, 1, 1
2018/7/2, 54, 16, 13, 7, 1, 1
2018/7/3, 48, 16, 9, 4, , 
2018/7/4, 40, 14, 12, 5, , 
2018/7/5, 26, 10, 8, 9, , 1
2018/7/6, 15, 13, 6, 7, 1, 2
2018/7/7, 45, 12, 11, 6, , 1
2018/7/8, 34, 15, 12, 11, , 2
2018/7/9, 53, 15, 17, 12, 2, 1
2018/7/10, 55, 21, 35, 16, 2, 2
2018/7/11, 47, 21, 22, 12, 1, 2
2018/7/12, 43, 27, 39, 14, 2, 2
2018/7/13, 67, 29, 71, 12, 3, 3
2018/7/14, 58, 42, 50, 11, 2, 2
2018/7/15, 85, 43, 45, 9, 2, 2
2018/7/16, 79, 42, 32, 13, 1, 
2018/7/17, 81, 40, 57, 17, 2, 2
2018/7/18, 67, 27, 31, 12, 1, 1
2018/7/19, 81, 14, 15, 8, 1, 1
2018/7/20, 55, 18, 29, 10, 1, 1
2018/7/21, 59, 26, 73, 11, 2, 2
2018/7/22, 64, 22, 56, 12, 4, 3
2018/7/23, 53, 40, 66, 14, 3, 3
2018/7/24, 83, 27, 27, 11, 2, 2
2018/7/25, 60, 12, 28, 6, 1, 1
2018/7/26, 39, 12, 24, 5, 1, 1
2018/7/27, 40, 16, 13, 4, , 1
2018/7/28, 39, 23, 30, 6, 1, 2
2018/7/29, 42, 19, 18, 8, 1, 2
2018/7/30, 49, 16, 41, 14, 3, 2
2018/7/31, 57, 25, 69, 21, 4, 2
2018/8/1, 61, 38, 92, 24, 5, 3
2018/8/2, 70, 44, 86, 17, 4, 3
2018/8/3, 84, 30, 60, 13, 4, 3
2018/8/4, 63, 43, 46, 6, 2, 2
2018/8/5, 78, 40, 42, 8, 1, 2
2018/8/6, 88, 5, 16, 7, 1, 2
2018/8/7, 26, 6, 15, 3, , 1
2018/8/8, 19, 18, 31, 8, 1, 2
2018/8/9, 44, 25, 32, 11, 2, 2
2018/8/10, 60, 35, 39, 17, 3, 3
2018/8/11, 60, 31, 34, 10, 3, 3
2018/8/12, 52, 20, 26, 11, 2, 2
2018/8/13, 55, 11, 18, 6, 1, 1
2018/8/14, 48, 11, 11, 2, , 
2018/8/15, 43, 12, 15, 3, , 1
2018/8/16, 38, 5, 25, 2, , 1
2018/8/17, 51, 9, 31, 10, 4, 2
2018/8/18, 62, 9, 37, 10, 2, 2
2018/8/19, 50, 8, 11, 13, 1, 2
2018/8/20, 44, , , , , 
2018/8/23, 22, 31, 8, 4, 1, 1
2018/8/24, 40, 20, 21, 7, 1, 1
2018/8/25, 60, 21, 78, 14, 3, 2
2018/8/26, 64, 25, 55, 15, 3, 2
2018/8/27, 86, 28, 40, 13, 2, 4
2018/8/28, 53, 27, 24, 13, 3, 3
2018/8/29, 51, 26, 24, 13, 1, 2
2018/8/30, 64, 22, 36, 13, 1, 2
2018/8/31, 69, 18, 29, 12, 1, 2
2018/9/1, 43, 9, 28, 6, 1, 2
2018/9/2, 29, 20, 13, 16, 1, 3
2018/9/3, 44, 25, 9, 8, 1, 2
2018/9/4, 39, 26, 38, 6, 1, 2
2018/9/5, 53, 27, 38, 11, 1, 2
2018/9/6, 64, 18, 29, 6, 1, 2
2018/9/7, 46, 12, 9, 4, , 
2018/9/8, 34, 9, 11, 3, 1, 
2018/9/9, 45, 10, 12, 9, 1, 1
2018/9/10, 46, 6, 32, 5, , 1
2018/9/11, 23, 11, 28, 5, 1, 1
2018/9/12, 33, 15, 29, 14, 2, 2
2018/9/13, 40, 17, 13, 21, 2, 3
2018/9/14, 42, 9, 22, 13, 1, 2
2018/9/15, 21, 17, 34, 15, 4, 3
2018/9/16, 44, 25, 46, 9, 1, 3
2018/9/17, 72, 14, 31, 18, 2, 2
2018/9/18, 54, 9, 33, 11, 1, 3
2018/9/19, 30, 11, 27, 15, 1, 2
2018/9/20, 31, 4, 22, 9, , 
2018/9/21, 16, 12, 23, 18, 1, 3
2018/9/22, 37, 11, 34, 8, 1, 2
2018/9/23, 51, 14, 32, 8, 1, 2
2018/9/24, 42, 11, 25, 11, 1, 2
2018/9/25, 36, 9, 22, 9, , 2
2018/9/26, 22, 7, 21, 11, , 2
2018/9/27, 27, 9, 29, 18, 2, 4
2018/9/28, 47, 14, 20, 18, 1, 3
2018/9/29, 36, 11, 21, 6, , 2
2018/9/30, 31, 18, 36, 8, 1, 2
2018/4/1, 51, 27, 46, 17, 1, 3
2018/4/2, 68, 38, 39, 18, 3, 3
2018/4/3, 84, 45, 46, 22, 2, 3
2018/4/4, 83, 13, 30, 12, 1, 2
2018/4/5, 28, 24, 31, 11, 1, 2
2018/4/6, 59, 13, 35, 8, , 2
2018/4/7, 38, 12, 40, 7, 1, 3
2018/4/8, 44, 13, 42, 13, 1, 2
2018/4/9, 46, 15, 37, 16, 4, 3
2018/4/10, 54, 17, 39, 11, 2, 2
2018/4/11, 61, 15, 41, 15, 2, 2
2018/4/12, 58, 11, 42, 7, 1, 2
2018/4/13, 44, 13, 44, 15, 2, 3
2018/4/14, 37, 13, 39, 4, , 2
2018/4/15, 34, 15, 35, 6, 2, 2
2018/4/16, 53, 12, 31, 12, , 3
2018/4/17, 34, 15, 30, 12, , 2
2018/4/18, 38, 16, 39, 20, 2, 4
2018/4/19, 52, 26, 61, 19, 9, 4
2018/4/20, 70, 28, 57, 21, 4, 4
2018/4/21, 73, 38, 89, 18, 4, 4
2018/4/22, 87, 34, 48, 12, 2, 3
2018/4/23, 74, 22, 31, 16, 3, 3
2018/4/24, 52, 18, 27, 21, , 3
2018/4/25, 40, 8, 41, 7, 2, 1
2018/4/26, 47, 11, 34, 14, 2, 2
2018/4/27, 29, 18, 53, 9, 4, 2
2018/4/28, 59, 21, 56, 5, 1, 2
2018/4/29, 64, 19, 43, 5, 1, 3
2018/4/30, 53, 24, 69, 14, 3, 3
2018/5/1, 72, 26, 44, 14, 3, 3
2018/5/2, 63, 16, 43, 4, , 2
2018/5/3, 44, 8, 46, 2, , 2
2018/5/4, 46, 14, 57, 7, 1, 3
2018/5/5, 56, 21, 58, 10, 3, 3
2018/5/6, 64, 11, 43, 9, , 1
2018/5/7, 34, 8, 31, 5, , 
2018/5/8, 22, 4, 28, 6, , 
2018/5/9, 18, 6, 28, 18, 1, 2
2018/5/10, 22, 10, 44, 12, 1, 2
2018/5/11, 43, 23, 46, 23, 6, 4
2018/5/12, 60, 12, 40, 5, 1, 2
2018/5/13, 34, 16, 46, 11, , 3
2018/5/14, 66, 13, 47, 17, 1, 3
2018/5/15, 60, 16, 52, 11, , 2
2018/5/16, 29, 31, 41, 23, 9, 4
2018/5/17, 77, 45, 38, 30, 4, 4
2018/5/18, 93, 17, 36, 7, 1, 2
2018/5/19, 60, 7, 35, 6, 2, 1
2018/5/20, 45, 9, 39, 16, 2, 2
2018/5/21, 53, 13, 42, 22, 5, 4
2018/5/22, 68, 13, 24, 17, 3, 3
2018/5/23, 34, 12, 38, 13, 2, 2
2018/5/24, 52, 16, 44, 16, 2, 2
2018/5/25, 44, 28, 50, 11, 1, 3
2018/5/26, 67, 24, 66, 8, 4, 4
2018/5/27, 64, 20, 36, 15, 1, 2
2018/5/28, 48, 19, 32, 16, 2, 2
2018/5/29, 54, 20, 31, 16, 2, 2
2018/5/30, 52, , 24, 13, 1, 3
2018/6/1, 76, 12, 61, 14, 3, 3
2018/6/2, 59, 13, 53, 8, 1, 2
2018/6/3, 60, 9, 53, 11, 2, 2
2018/6/4, 56, 11, 46, 13, 1, 2
2018/6/5, 59, 13, 38, 11, 1, 2
2018/6/6, 34, 13, 45, 15, 2, 2
2018/6/7, 61, 13, 38, 12, 1, 2
2018/6/8, 41, 19, 61, 12, 3, 2
2018/6/9, 53, 15, 38, 4, 1, 2
2018/6/10, 28, 5, 17, 7, , 1
2018/6/11, 13, 17, 19, 13, 1, 2
2018/6/12, 49, 12, 32, 13, 2, 3
2018/6/13, 48, 10, 26, 11, 3, 2
2018/6/14, 37, 8, 23, 10, 1, 1
2018/6/15, 19, 5, 20, 4, , 1
2018/6/16, 15, 9, 27, 8, 3, 3
2018/6/17, 31, 15, 8, 19, 1, 3
2018/6/18, 37, 13, 37, 13, 4, 2
2018/6/19, 42, 10, 19, 14, 2, 2
2018/6/20, 22, 17, 16, 18, 2, 3
2018/6/21, 44, 26, 54, 19, 2, 4
2018/6/22, 66, 35, 29, 20, 2, 5
2018/6/23, 72, 19, 47, 9, 1, 3
2018/6/24, 59, 25, 56, 25, 5, 4
2018/6/25, 66, 26, 45, 11, 2, 2
2018/6/26, 79, 10, 22, 4, 1, 1
2018/6/27, 45, 19, 12, 4, 1, 1
2018/6/28, 44, 12, 8, 3, 1, 1
2018/6/29, 48, 11, 7, 4, 1, 
2018/6/30, 50, 16, 10, 3, 1, 
2018/1/1, 37, 5, 28, 8, 2, 4
2018/1/2, 22, 3, 27, 5, 2, 2
2018/1/3, 24, 3, 27, 7, 2, 2
2018/1/4, 19, 6, 23, 15, , 2
2018/1/5, 26, 10, 20, 27, 3, 4
2018/1/6, 38, 4, 29, 7, 1, 3
2018/1/7, 27, 13, 16, 23, 2, 4
2018/1/8, 41, 19, 20, 24, , 5
2018/1/9, 55, 7, 25, 16, , 4
2018/1/10, 36, 4, 22, 15, , 3
2018/1/11, 24, 8, 15, 22, 2, 3
2018/1/12, 26, 11, 11, 30, 5, 4
2018/1/13, 40, 6, 30, 7, 2, 3
2018/1/14, 24, 14, 15, 32, 2, 4
2018/1/15, 47, 22, 13, 44, 4, 7
2018/1/16, 66, 32, 8, 37, 2, 6
2018/1/17, 85, 15, 18, 31, 3, 6
2018/1/18, 46, 11, 24, 17, 1, 4
2018/1/19, 44, 11, 20, 10, , 2
2018/1/20, 39, , , , , 
2018/1/22, 31, 10, 21, 25, , 3
2018/1/23, 39, 5, 24, 20, , 2
2018/1/24, 18, 4, 22, 10, , 2
2018/1/25, 7, 4, 27, 9, , 2
2018/1/26, 21, 5, 29, 5, 1, 3
2018/1/27, 23, 12, 27, 16, 2, 4
2018/1/28, 40, 13, 22, 25, 2, 5
2018/1/29, 51, 5, 23, 16, 2, 3
2018/1/30, 22, 15, 9, 38, 4, 5
2018/1/31, 48, 15, 15, 26, 1, 4
2018/2/1, 46, 10, 18, 17, , 3
2018/2/2, 37, 19, 17, 23, , 4
2018/2/3, 51, 9, 28, 13, 3, 3
2018/2/4, 36, 7, 25, 19, 3, 3
2018/2/5, 29, 7, 22, 17, 2, 3
2018/2/6, 33, 6, 23, 20, 2, 3
2018/2/7, 27, 6, 22, 18, , 3
2018/2/8, 26, 18, 23, 28, 3, 4
2018/2/9, 57, 27, 36, 33, 3, 5
2018/2/10, 68, 15, 31, 11, 2, 3
2018/2/11, 47, 6, 30, 7, , 3
2018/2/12, 27, 6, 26, 21, , 3
2018/2/13, 28, 9, 21, 21, , 3
2018/2/14, 23, 13, 26, 23, 3, 4
2018/2/15, 47, 9, 27, 15, 3, 2
2018/2/16, 30, 10, 28, 12, 2, 2
2018/2/17, 40, 6, 31, 4, , 
2018/2/18, 26, 10, 23, 25, 4, 4
2018/2/19, 32, 13, 25, 25, 4, 3
2018/2/20, 42, 11, 24, 22, 2, 3
2018/2/21, 39, 9, 26, 12, 1, 3
2018/2/22, 33, 14, 19, 22, , 4
2018/2/23, 45, 17, 30, 23, 3, 4
2018/2/24, 60, 9, 29, 8, , 2
2018/2/25, 34, 13, 31, 12, , 2
2018/2/26, 42, 16, 26, 23, 4, 3
2018/2/27, 49, 25, 32, 27, 2, 4
2018/2/28, 72, 14, 35, 17, , 4
2018/3/1, 39, 7, 36, 8, , 2
2018/3/2, 28, 13, 24, 26, 6, 5
2018/3/3, 46, 21, 37, 20, 3, 4
2018/3/4, 61, 13, 28, 13, 1, 3
2018/3/5, 36, 7, 32, 8, , 2
2018/3/6, 34, 9, 30, 10, , 2
2018/3/7, 31, 6, 22, 16, , 3
2018/3/8, 26, 6, 26, 15, , 3
2018/3/9, 35, 7, 31, 10, 2, 3
2018/3/10, 22, 12, 32, 12, 3, 3
2018/3/11, 37, 11, 35, 15, 4, 4
2018/3/12, 40, 20, 30, 29, 3, 4
2018/3/13, 55, 33, 26, 47, 8, 6
2018/3/14, 72, 33, 37, 28, 3, 4
2018/3/15, 74, 11, 32, 12, , 2
2018/3/16, 28, 8, 30, 10, 2, 2
2018/3/17, 27, 10, 35, 12, 2, 3
2018/3/18, 36, 21, 23, 28, , 4
2018/3/19, 56, 10, 32, 8, , 2
2018/3/20, 28, 8, 28, 10, , 3
2018/3/21, 26, 5, 24, 16, , 3
2018/3/22, 23, 5, 27, 14, 2, 2
2018/3/23, 28, 8, 28, 18, 4, 3
2018/3/24, 31, 14, 46, 12, 3, 3
2018/3/25, 48, 30, 34, 30, 3, 5
2018/3/26, 76, 44, 56, 34, 5, 6
2018/3/27, 96, 47, 48, 30, 4, 5
2018/3/28, 99, 41, 49, 31, 5, 6
2018/3/29, 93, 13, 44, 7, 2, 2
2018/3/30, 47, 10, 43, 12, 2, 3
2018/3/31, 44, 16, 46, 8, 1, 3
2017/10/1, 48, 15, 23, 22, 3, 3
2017/10/2, 38, 22, 34, 16, 2, 3
2017/10/3, 59, 9, 26, 8, 1, 2
2017/10/4, 24, 7, 30, 8, , 1
2017/10/5, 24, 12, 23, 14, , 2
2017/10/6, 35, 6, 24, 11, , 4
2017/10/7, 24, 13, 30, 11, 2, 3
2017/10/8, 44, 10, 33, 11, 3, 3
2017/10/9, 41, 21, 48, 25, 2, 4
2017/10/10, 62, 33, 19, 20, 2, 5
2017/10/11, 61, 36, 42, 23, 4, 4
2017/10/12, 80, 7, 24, 10, , 2
2017/10/13, 14, 6, 22, 10, , 3
2017/10/14, 22, 8, 18, 9, , 2
2017/10/15, 28, 7, 18, 11, , 2
2017/10/16, 21, 8, 18, 14, , 3
2017/10/17, 22, 13, 29, 12, , 3
2017/10/18, 40, 9, 22, 11, , 
2017/10/19, 25, 4, 21, 11, , 2
