PERIOD,VOGUE_JAPAN
2015/1/1,"76,200"
2015/4/1,"72,017"
2015/7/1,"75,567"
2015/10/1,"71,957"
2016/1/1,"75,733"
2016/4/1,"71,000"
2016/7/1,"72,667"
2016/10/1,"74,630"
2017/1/1,"71,000"
2017/4/1,"70,033"
2017/7/1,"70,000"
2017/10/1,"70,000"
2018/1/1,"61,033"
2018/4/1,"60,000"
2018/7/1,"60,000"
2018/10/1,"60,000"
2019/1/1,"60,500"
2019/4/1,"59,500"
2019/7/1,"60,000"
2019/10/1,"60,000"
2020/1/1,"59,667"
2020/4/1,"54,000"
2020/7/1,"45,883"
2020/10/1,"48,267"
2021/1/1,"44,333"
2021/4/1,"50,000"
